#codiceFiscale,password
p3x08d2eaongbffc,p3x08d2eaongbffc
xwugyxzdmnkcdfjo,xwugyxzdmnkcdfjo
1qqmmh5zawylcisw,1qqmmh5zawylcisw
8vx2mvdnltswnfah,8vx2mvdnltswnfah
wwwov6y8t62ts2ta,wwwov6y8t62ts2ta
c1dfe6z8t0oz9cp7,c1dfe6z8t0oz9cp7
mfcpwqrew73wxsg8,mfcpwqrew73wxsg8
0zztsp3b73t7mhkv,0zztsp3b73t7mhkv
xje73kfu0d17zvzb,xje73kfu0d17zvzb
hl9qoa5h1vxz21wo,hl9qoa5h1vxz21wo
r08nuvqkdwbx3q8y,r08nuvqkdwbx3q8y
0xiq5wmmgmnetg1f,0xiq5wmmgmnetg1f
whltiddffwxtgnk9,whltiddffwxtgnk9
rvo7tbx69opgb62y,rvo7tbx69opgb62y
nu4930hd7kfvcclk,nu4930hd7kfvcclk
5owvrvp7oajbn3ef,5owvrvp7oajbn3ef
2qgeyepp7jlhvix9,2qgeyepp7jlhvix9
e9h067zgosye2fns,e9h067zgosye2fns
vrlqiw6iycml7ny1,vrlqiw6iycml7ny1
n6hutpjuxxv0sfby,n6hutpjuxxv0sfby
xx5xj2d8igibpm94,xx5xj2d8igibpm94
kytuzb8tiqhfcxlu,kytuzb8tiqhfcxlu
ootsgbm5j2jy5i1h,ootsgbm5j2jy5i1h
w6ocfai18mp7ski9,w6ocfai18mp7ski9
xpgbpnz7bklklpvh,xpgbpnz7bklklpvh
rn7xotvay7ldnmdo,rn7xotvay7ldnmdo
jxdhn8rqcsy8ooqo,jxdhn8rqcsy8ooqo
jsjqasrcwin7cfb2,jsjqasrcwin7cfb2
rk5wxpruozm1maws,rk5wxpruozm1maws
xahgi1b2iqdd7toy,xahgi1b2iqdd7toy
evdmfb0e3ccb5nv0,evdmfb0e3ccb5nv0
gosbnjwgu0gnh0ts,gosbnjwgu0gnh0ts
a96spotgamzmqvrc,a96spotgamzmqvrc
vhnhrvz7wg9stfde,vhnhrvz7wg9stfde
hyovseqvandzogoo,hyovseqvandzogoo
ixmm9tkbxht7mxu1,ixmm9tkbxht7mxu1
q8ujjfsbc6xwjypv,q8ujjfsbc6xwjypv
ekvmgtselfmk5owd,ekvmgtselfmk5owd
naptnammwzrcrw5c,naptnammwzrcrw5c
g9gpr3cbk1le57el,g9gpr3cbk1le57el
k1ezl5j2bqx0z2vo,k1ezl5j2bqx0z2vo
3bb26dkohdn6jvdi,3bb26dkohdn6jvdi
sg6tn82vhgbbatio,sg6tn82vhgbbatio
y2qfzumofq6iz9r5,y2qfzumofq6iz9r5
mp7482dwfexrn0z7,mp7482dwfexrn0z7
ihldwlaep6g8aywz,ihldwlaep6g8aywz
pmkmogrxgmfdqwu8,pmkmogrxgmfdqwu8
eihzmb1ndes5siq9,eihzmb1ndes5siq9
3d1gfvyyi1cfqeac,3d1gfvyyi1cfqeac
ciawkhakcy61rlm5,ciawkhakcy61rlm5
jcyelws8kafhbyqn,jcyelws8kafhbyqn
wr1wnujqhfd2g2n7,wr1wnujqhfd2g2n7
tw5wvmdliq6hrajj,tw5wvmdliq6hrajj
qsrvocdd99ihj9yw,qsrvocdd99ihj9yw
9ysqqdkcvwtgbmlh,9ysqqdkcvwtgbmlh
pyc8b6ahevhnwbrn,pyc8b6ahevhnwbrn
8y6zcgopiawn6yjs,8y6zcgopiawn6yjs
fqnwhiezcuhc0oix,fqnwhiezcuhc0oix
h4y2pyswsv8ytujd,h4y2pyswsv8ytujd
gzsqsmcz9avbphnw,gzsqsmcz9avbphnw
fe4jaa5ff7w6avzf,fe4jaa5ff7w6avzf
3toirsn4kzwrsvok,3toirsn4kzwrsvok
eoibzqryrhvd9yjt,eoibzqryrhvd9yjt
xcrm30deluygqbao,xcrm30deluygqbao
i71wleswux6vpmcd,i71wleswux6vpmcd
jhnlc6vutqyacw53,jhnlc6vutqyacw53
un6bdxduy7tf4kt0,un6bdxduy7tf4kt0
6n6w47kuqbddwgqg,6n6w47kuqbddwgqg
goadvqqxblbdhsmm,goadvqqxblbdhsmm
s0si0vt68ogzbta4,s0si0vt68ogzbta4
vumwc7du6dic112g,vumwc7du6dic112g
aerz8dv2yzvxcm2v,aerz8dv2yzvxcm2v
s6cnj7cl4hrgjjni,s6cnj7cl4hrgjjni
r7y8zfmam3gzyaop,r7y8zfmam3gzyaop
hc9e1qzjadixxmqm,hc9e1qzjadixxmqm
prmoc13azrrm567p,prmoc13azrrm567p
jhxqbv7dvk3qidcw,jhxqbv7dvk3qidcw
6qsu6uwjnkmnsdio,6qsu6uwjnkmnsdio
wwscdiyxyvfrjdks,wwscdiyxyvfrjdks
lxhwlueg69niwlmf,lxhwlueg69niwlmf
l0op9wsb6yrnwpmy,l0op9wsb6yrnwpmy
3x3t8vvusgq0zwaf,3x3t8vvusgq0zwaf
roqw935efz1qiyrk,roqw935efz1qiyrk
4m7hkhauvygfa0qd,4m7hkhauvygfa0qd
je1ytnv7ox8qshay,je1ytnv7ox8qshay
gjquci4kfmc28fgi,gjquci4kfmc28fgi
ijpvypp2q9ylctjl,ijpvypp2q9ylctjl
1uwzfixlss6i4aj5,1uwzfixlss6i4aj5
pwzxmwspbyuestwb,pwzxmwspbyuestwb
i8lod6vmyrwhxkwp,i8lod6vmyrwhxkwp
au9jxhmpz9h0gvqn,au9jxhmpz9h0gvqn
fxyx3lhjjaech71o,fxyx3lhjjaech71o
cx5ambphxfhmbxle,cx5ambphxfhmbxle
2whqczfimoqobjcz,2whqczfimoqobjcz
fpwjfi9zvv4invwp,fpwjfi9zvv4invwp
kbu7yqapcqrhkx3g,kbu7yqapcqrhkx3g
xkwxcjvnu50arh65,xkwxcjvnu50arh65
9yriyxqwctq3ilxp,9yriyxqwctq3ilxp
hz1avm6jqr8jkveq,hz1avm6jqr8jkveq
hvppeoxkakics5tn,hvppeoxkakics5tn
e3iac8zwmvhdumfz,e3iac8zwmvhdumfz
7wlff2lsao09dr5l,7wlff2lsao09dr5l
8ll9uhwllidhc1u3,8ll9uhwllidhc1u3
gyltn7su1tow43bv,gyltn7su1tow43bv
1rpclgdbs44zbt7c,1rpclgdbs44zbt7c
mljemy2i404fdfhl,mljemy2i404fdfhl
iia01x3p7juoss25,iia01x3p7juoss25
vlqdpbvhdicidfp3,vlqdpbvhdicidfp3
oq6wpgxa55vtdlnm,oq6wpgxa55vtdlnm
jrcflfpoyzjxpoya,jrcflfpoyzjxpoya
hytkuygkkcdnfdnj,hytkuygkkcdnfdnj
2khamxamhpqvoxyk,2khamxamhpqvoxyk
tenw4kvmofk0ndvc,tenw4kvmofk0ndvc
s6zqyyhjhzsmg4o1,s6zqyyhjhzsmg4o1
eus6juv2brr0wnmu,eus6juv2brr0wnmu
xybhpth4hcny1f0u,xybhpth4hcny1f0u
y4xwgqs0rxbibknh,y4xwgqs0rxbibknh
g6kc2mk5qupburgo,g6kc2mk5qupburgo
l5qjan4bigcijkio,l5qjan4bigcijkio
gjchxsoc1e3fpson,gjchxsoc1e3fpson
xrdl4atdy0gu1mlv,xrdl4atdy0gu1mlv
suekbsfm71up3ubw,suekbsfm71up3ubw
q34u9lwlcpeokv0q,q34u9lwlcpeokv0q
qajxslz9vgx3qyma,qajxslz9vgx3qyma
zqgzm7l1zvukekxu,zqgzm7l1zvukekxu
zwshccjq46pt0fke,zwshccjq46pt0fke
cyssf7rnovowv0rq,cyssf7rnovowv0rq
tfzxcrtpqlgxn6aw,tfzxcrtpqlgxn6aw
jgyw5qjedkyc3xvj,jgyw5qjedkyc3xvj
f2lqwnhhcff2fxi3,f2lqwnhhcff2fxi3
lxdo4wa5jrkwqawk,lxdo4wa5jrkwqawk
endqlxayxpfdyxof,endqlxayxpfdyxof
xuuufqyctwjsnqg1,xuuufqyctwjsnqg1
tl76isxigowehkjy,tl76isxigowehkjy
chn83uzafue4igzw,chn83uzafue4igzw
lfymhppegiupeds6,lfymhppegiupeds6
lggp3rtflzb8xvud,lggp3rtflzb8xvud
6ij7o2kx6sm8tffw,6ij7o2kx6sm8tffw
gtct1nbdigpebnud,gtct1nbdigpebnud
ntzch2ujl7hqocr8,ntzch2ujl7hqocr8
omfm25jofsfza7px,omfm25jofsfza7px
ihlyg3emj9wchkfw,ihlyg3emj9wchkfw
hzqervob2j1hktfh,hzqervob2j1hktfh
jt91ujmaig5frrsd,jt91ujmaig5frrsd
umnf9jwzfkxugliw,umnf9jwzfkxugliw
p1mg37yjey7qn972,p1mg37yjey7qn972
b1wifpnnlqfmjqvy,b1wifpnnlqfmjqvy
ng4g31cxewdxy1qy,ng4g31cxewdxy1qy
uxrampcdlr8hosrg,uxrampcdlr8hosrg
shzgrnhbag3d3p2x,shzgrnhbag3d3p2x
7lrbqcp7pgcgztpf,7lrbqcp7pgcgztpf
82qq4sdpkik5pbrh,82qq4sdpkik5pbrh
somiqggxo3qjrhrb,somiqggxo3qjrhrb
shjfy1x2kssefw1e,shjfy1x2kssefw1e
taajwb4rz1przykp,taajwb4rz1przykp
hoepnirm2jvbvc0t,hoepnirm2jvbvc0t
hbnzsd98stii0dp4,hbnzsd98stii0dp4
pjgzotdlakirxaho,pjgzotdlakirxaho
xsmbpkavu0vygg0p,xsmbpkavu0vygg0p
14ssm0tzp6rlva3v,14ssm0tzp6rlva3v
chcagdzd8gyhebnv,chcagdzd8gyhebnv
mirdw0ktirzu0mck,mirdw0ktirzu0mck
r6w8j5txameldinr,r6w8j5txameldinr
ke5qmwswfavbtz22,ke5qmwswfavbtz22
raavfrtympicwrj5,raavfrtympicwrj5
dk9u3be0kqrhslxp,dk9u3be0kqrhslxp
43ub1pxayh3lxoul,43ub1pxayh3lxoul
puiswndvxu4bba0d,puiswndvxu4bba0d
ryyulimpmd10zbxd,ryyulimpmd10zbxd
xu2xn1yfkw30tz8s,xu2xn1yfkw30tz8s
v12cusa4hqgdrnhz,v12cusa4hqgdrnhz
sggx53kbs8nanl1n,sggx53kbs8nanl1n
zig3nwp8tn6ygr2y,zig3nwp8tn6ygr2y
b21u087mylki7dwr,b21u087mylki7dwr
ur1hvszpzqg1xl8n,ur1hvszpzqg1xl8n
uwhdfmcslt17965g,uwhdfmcslt17965g
krbvxjsofya6iudo,krbvxjsofya6iudo
6wq0u5pjfhyqn9ba,6wq0u5pjfhyqn9ba
9e7ooplgyenxhzti,9e7ooplgyenxhzti
j5c6uij9b76o1tnj,j5c6uij9b76o1tnj
hz0qkhziignoqph6,hz0qkhziignoqph6
wxcfhbzhs9dceq8z,wxcfhbzhs9dceq8z
ati0ypueqiuatl20,ati0ypueqiuatl20
zlqxh24ipyxf7hl1,zlqxh24ipyxf7hl1
uhcdsinu7x2nirfc,uhcdsinu7x2nirfc
lhuk7hzfdygqkwwh,lhuk7hzfdygqkwwh
fldgwnqhpdsbjnso,fldgwnqhpdsbjnso
kerd3rbi2vdienhq,kerd3rbi2vdienhq
pk47r6xuagikhlvu,pk47r6xuagikhlvu
hu8ysj9shyvbr6n1,hu8ysj9shyvbr6n1
cdyumcfijmum5r8x,cdyumcfijmum5r8x
xa2unrnus9ydvcpz,xa2unrnus9ydvcpz
75niibso3iofej4l,75niibso3iofej4l
87ehqafqnmz8umt2,87ehqafqnmz8umt2
0t8yeyafhycz5ybs,0t8yeyafhycz5ybs
